#Network: CollegeMsg.txt
#Nodes: 1899	Edges: 20296
#NodeId	EigenVector
1	0.038476
2	0.018562
3	0.104413
4	0.001985
5	0.000353
6	0.027671
7	0.003663
8	0.063398
9	0.127291
10	0.003029
11	0.018110
12	0.090620
13	0.019391
14	0.005526
15	0.018291
16	0.003024
17	0.003431
18	0.005384
19	0.049650
20	0.018480
21	0.000388
22	0.005387
23	0.002115
24	0.003024
25	0.000780
26	0.017636
27	0.057081
28	0.005425
29	0.014017
30	0.014176
31	0.000337
32	0.174397
33	0.007444
34	0.038913
35	0.000982
36	0.059451
37	0.001883
38	0.031934
39	0.022179
40	0.004908
41	0.099113
42	0.103599
43	0.005020
44	0.069487
45	0.000147
46	0.001862
47	0.000616
48	0.028874
49	0.003024
50	0.025566
51	0.039743
52	0.053180
53	0.025189
54	0.000184
55	0.001948
56	0.015784
57	0.001551
58	0.033671
59	0.023772
60	0.039166
61	0.034300
62	0.032866
63	0.080183
64	0.020650
65	0.005270
66	0.005275
67	0.092477
68	0.056908
69	0.028360
70	0.031411
71	0.000148
72	0.055504
73	0.031204
74	0.049880
75	0.006867
76	0.018182
77	0.005525
78	0.006352
79	0.014891
80	0.020477
81	0.045497
82	0.015334
83	0.004624
84	0.018563
85	0.035758
86	0.014869
87	0.017519
88	0.043531
89	0.002064
90	0.027552
91	0.000181
92	0.000693
93	0.007533
94	0.005701
95	0.047202
96	0.019201
97	0.087303
98	0.002976
99	0.019044
100	0.002480
101	0.063678
102	0.008521
103	0.118260
104	0.005676
105	0.146385
106	0.000078
107	0.001391
108	0.013288
109	0.057459
110	0.002437
111	0.002545
112	0.003237
113	0.001883
114	0.035438
115	0.001690
116	0.000169
117	0.000391
118	0.021440
119	0.005551
120	0.011700
121	0.008175
122	0.001711
123	0.019294
124	0.046564
125	0.006027
126	0.000125
127	0.020867
128	0.056628
129	0.006358
130	0.005525
131	0.008813
132	0.040131
133	0.002056
134	0.009122
135	0.037614
136	0.003684
137	0.000334
138	0.000680
139	0.002359
140	0.026420
141	0.000804
142	0.029221
143	0.027043
144	0.083919
145	0.010658
146	0.033094
147	0.003612
148	0.010365
149	0.025756
150	0.003024
151	0.027207
152	0.021198
153	0.003024
154	0.031052
155	0.048358
156	0.002290
157	0.018332
158	0.015336
159	0.003657
160	0.004849
161	0.011381
162	0.005545
163	0.020662
164	0.014396
165	0.018110
166	0.019950
167	0.002964
168	0.037792
169	0.002355
170	0.000075
171	0.000150
172	0.018106
173	0.039424
174	0.012893
175	0.039993
176	0.074143
177	0.023026
178	0.000015
179	0.005540
180	0.013839
181	0.031043
182	0.000638
183	0.009973
184	0.034143
185	0.030317
186	0.003507
187	0.000092
188	0.017678
189	0.026485
190	0.008454
191	0.024647
192	0.005035
193	0.027956
194	0.103514
195	0.001213
196	0.002349
197	0.002349
198	0.011900
199	0.030266
200	0.002349
201	0.005151
202	0.003560
203	0.005450
204	0.039061
205	0.002188
206	0.000820
207	0.000410
208	0.001210
209	0.045441
210	0.000324
211	0.030842
212	0.039777
213	0.001466
214	0.038134
215	0.008089
216	0.007728
217	0.002349
218	0.002349
219	0.013850
220	0.088978
221	0.029795
222	0.005002
223	0.005118
224	0.056431
225	0.001425
226	0.002567
227	0.000760
228	0.023618
229	0.000000
230	0.000000
231	0.000152
232	0.001764
233	0.024800
234	0.026694
235	0.003658
236	0.015556
237	0.030949
238	0.000494
239	0.006213
240	0.000106
241	0.002861
242	0.028039
243	0.009899
244	0.006739
245	0.005273
246	0.001466
247	0.000119
248	0.006104
249	0.101615
250	0.065011
251	0.019575
252	0.030706
253	0.000085
254	0.091847
255	0.007313
256	0.016321
257	0.013597
258	0.000157
259	0.011701
260	0.029061
261	0.001646
262	0.003952
263	0.080692
264	0.000162
265	0.019832
266	0.037167
267	0.004344
268	0.000111
269	0.004771
270	0.008225
271	0.024425
272	0.036062
273	0.010526
274	0.015031
275	0.000702
276	0.005743
277	0.061723
278	0.036502
279	0.000121
280	0.003060
281	0.071272
282	0.019904
283	0.036909
284	0.018089
285	0.012394
286	0.028059
287	0.000690
288	0.031262
289	0.039411
290	0.001717
291	0.020208
292	0.000968
293	0.000504
294	0.029933
295	0.003587
296	0.023704
297	0.053911
298	0.011644
299	0.030097
300	0.011469
301	0.001089
302	0.042907
303	0.013563
304	0.013259
305	0.003743
306	0.045668
307	0.008928
308	0.101366
309	0.025795
310	0.001340
311	0.068189
312	0.021550
313	0.017797
314	0.057532
315	0.031319
316	0.039798
317	0.069984
318	0.012450
319	0.021730
320	0.000039
321	0.061105
322	0.004885
323	0.085374
324	0.018266
325	0.051697
326	0.000696
327	0.006603
328	0.003283
329	0.010639
330	0.003024
331	0.002494
332	0.029824
333	0.030178
334	0.007736
335	0.010585
336	0.024183
337	0.053752
338	0.010150
339	0.022621
340	0.002165
341	0.022621
342	0.051262
343	0.038009
344	0.009271
345	0.002469
346	0.030197
347	0.000765
348	0.001242
349	0.020929
350	0.023737
351	0.008567
352	0.018993
353	0.030889
354	0.002861
355	0.012456
356	0.004451
357	0.059580
358	0.058229
359	0.003587
360	0.017281
361	0.010320
362	0.001481
363	0.004623
364	0.002832
365	0.025598
366	0.012988
367	0.025250
368	0.030268
369	0.000106
370	0.003185
371	0.061801
372	0.084001
373	0.025958
374	0.007842
375	0.022306
376	0.021420
377	0.028144
378	0.058200
379	0.018196
