#Network: Wiki-Vote.txt
#Nodes: 7115	Edges: 103689
#NodeId	EigenVector
30	0.003813
1412	0.002763
3352	0.109897
5254	0.045782
5543	0.042761
7478	0.013284
3	0.004394
28	0.018121
39	0.006392
54	0.004783
108	0.000303
152	0.007408
178	0.015309
182	0.016190
214	0.020702
271	0.021251
286	0.002398
300	0.001718
348	0.006043
349	0.001014
371	0.020146
567	0.002839
581	0.000885
584	0.002166
586	0.002908
590	0.004439
604	0.002087
611	0.002880
8283	0.000351
25	0.007579
6	0.023769
8	0.016634
19	0.006252
23	0.009047
29	0.020949
33	0.006576
35	0.020628
50	0.005095
55	0.011190
75	0.006305
80	0.008996
86	0.027738
94	0.010936
127	0.026045
154	0.010360
192	0.004750
224	0.003794
226	0.005781
246	0.005027
252	0.003903
255	0.015776
257	0.003428
261	0.003862
273	0.001547
280	0.014294
282	0.011676
299	0.015013
302	0.002667
306	0.039971
308	0.025549
310	0.035941
322	0.005572
325	0.008033
339	0.009997
356	0.006435
358	0.000839
363	0.003807
370	0.004432
373	0.002435
377	0.002534
379	0.002831
407	0.038811
415	0.011185
422	0.002065
428	0.001774
439	0.011945
488	0.003306
514	0.001847
545	0.010483
549	0.008319
560	0.005450
592	0.002430
600	0.046649
645	0.003419
650	0.015043
659	0.009941
664	0.004727
667	0.009560
673	0.007084
675	0.003989
696	0.004509
706	0.013250
723	0.005879
739	0.008330
756	0.007505
857	0.017083
864	0.003666
893	0.008673
959	0.018609
994	0.015279
1131	0.004185
3755	0.022343
8282	0.001227
8284	0.000668
4	0.001997
10	0.008562
38	0.003752
56	0.024481
130	0.004247
140	0.002988
147	0.011333
151	0.010483
232	0.007113
243	0.007886
341	0.005395
606	0.001522
5	0.001585
61	0.003121
89	0.006803
93	0.001995
153	0.001883
163	0.003315
167	0.001148
168	0.003762
175	0.001925
34	0.002690
132	0.007556
135	0.003394
171	0.014367
183	0.003430
216	0.003836
219	0.001915
227	0.005132
228	0.005771
236	0.006360
250	0.002571
258	0.001802
259	0.017662
274	0.003546
285	0.015363
290	0.040376
298	0.009303
301	0.001226
304	0.014617
317	0.023687
319	0.031756
359	0.000446
362	0.001226
378	0.001852
390	0.001421
391	0.003546
392	0.000480
394	0.002108
396	0.002483
402	0.003892
405	0.006330
406	0.006752
421	0.000930
427	0.003192
431	0.003233
432	0.029521
433	0.001606
435	0.002479
440	0.002422
