#Network: email-Eu-core.txt
#Nodes: 1005	Edges: 25571
#NodeId	EigenVector
0	0.023457
1	0.017629
2	0.057759
3	0.044174
4	0.065893
5	0.088592
6	0.050097
7	0.020767
8	0.010553
9	0.006814
10	0.034085
11	0.031555
12	0.027996
13	0.076229
14	0.046258
15	0.024261
16	0.054322
17	0.069131
18	0.033207
19	0.038443
20	0.048416
21	0.104586
22	0.007452
23	0.063314
24	0.019415
25	0.015684
26	0.014000
27	0.032200
28	0.079137
29	0.031910
30	0.047746
31	0.039670
32	0.017292
33	0.014086
34	0.014468
35	0.038036
36	0.030335
37	0.015227
38	0.024549
39	0.020157
40	0.025647
41	0.062802
42	0.060815
43	0.001895
44	0.062934
45	0.020072
46	0.051996
47	0.033663
48	0.035494
49	0.003215
50	0.007363
51	0.043819
52	0.008938
53	0.026618
54	0.033551
55	0.020393
56	0.025741
57	0.035725
58	0.092279
59	0.027923
60	0.018880
61	0.021547
62	0.143425
63	0.091960
64	0.087246
65	0.044761
66	0.019505
67	0.003794
68	0.040712
69	0.035126
70	0.010749
71	0.006352
72	0.003747
73	0.009200
74	0.044992
75	0.011677
76	0.016316
77	0.017997
78	0.013319
79	0.031424
80	0.057764
81	0.088051
82	0.141105
83	0.090361
84	0.067353
85	0.016426
86	0.103351
87	0.113774
88	0.021402
89	0.046790
90	0.022531
91	0.028474
92	0.023359
93	0.051139
94	0.017061
95	0.018976
96	0.078001
97	0.010746
98	0.011566
99	0.018080
100	0.024949
101	0.017482
102	0.009813
103	0.015275
104	0.009957
105	0.118215
106	0.093612
107	0.159835
108	0.027140
109	0.004420
110	0.007289
111	0.002738
112	0.008112
113	0.056505
114	0.115688
115	0.101031
116	0.049025
117	0.010333
118	0.021436
119	0.007017
120	0.008342
121	0.162313
122	0.005767
123	0.026076
124	0.017802
125	0.013323
126	0.018390
127	0.016246
128	0.104483
129	0.117473
130	0.014038
131	0.043476
132	0.051149
133	0.077879
134	0.007832
135	0.024867
136	0.018111
137	0.059751
138	0.017452
139	0.013000
140	0.013488
141	0.031170
142	0.098048
143	0.040720
144	0.011962
145	0.051369
146	0.011103
147	0.044654
148	0.007297
149	0.011961
150	0.011078
151	0.026831
152	0.054572
153	0.049053
154	0.039195
155	0.034145
156	0.006853
157	0.024743
158	0.032321
159	0.023076
160	0.164920
161	0.022203
162	0.038887
163	0.042314
164	0.024859
165	0.084960
166	0.107704
167	0.027776
168	0.047851
169	0.100280
170	0.072233
171	0.028470
172	0.067317
173	0.051380
174	0.048583
175	0.008059
176	0.017471
177	0.020459
178	0.011310
179	0.021515
180	0.055576
181	0.019688
182	0.011030
183	0.123858
184	0.060977
185	0.004394
186	0.024517
187	0.046173
188	0.027984
189	0.035785
190	0.029103
191	0.029612
192	0.010186
193	0.013426
194	0.022228
195	0.021623
196	0.013701
197	0.022932
198	0.021529
199	0.035171
200	0.015313
201	0.036546
202	0.001455
203	0.015128
204	0.013079
205	0.010237
206	0.024093
207	0.017347
208	0.022735
209	0.057602
210	0.071118
211	0.112166
212	0.112632
213	0.007674
214	0.029096
215	0.052899
216	0.011024
217	0.008698
218	0.027960
219	0.008169
220	0.009304
221	0.041675
222	0.036917
223	0.027936
224	0.005574
225	0.017731
226	0.044167
227	0.008472
228	0.008758
229	0.025183
230	0.027321
231	0.025273
232	0.039230
233	0.048949
234	0.035857
235	0.011869
236	0.036066
237	0.018508
238	0.018559
239	0.004680
240	0.009859
241	0.007411
242	0.021789
243	0.031225
244	0.015429
245	0.040986
246	0.002992
247	0.004385
248	0.008083
249	0.130464
250	0.012161
251	0.021481
252	0.086283
253	0.029693
254	0.061070
255	0.051668
256	0.093109
257	0.008662
258	0.036365
259	0.011584
260	0.006555
261	0.036805
262	0.006460
263	0.046578
264	0.011229
265	0.008391
266	0.006192
267	0.002765
268	0.018440
269	0.049858
270	0.012002
271	0.042447
272	0.015806
273	0.007756
274	0.005569
275	0.023432
276	0.001830
277	0.008776
278	0.034996
279	0.014121
280	0.094543
281	0.049804
282	0.107531
283	0.118736
284	0.021330
285	0.062352
286	0.031435
287	0.014202
288	0.026302
289	0.002260
290	0.071913
291	0.022695
292	0.026883
293	0.007486
294	0.018225
295	0.037762
296	0.034280
297	0.005496
298	0.007787
299	0.010955
300	0.040315
301	0.056905
302	0.025623
303	0.084727
304	0.029568
305	0.034925
306	0.026442
307	0.006798
308	0.028437
309	0.014391
310	0.022048
311	0.015304
312	0.014788
313	0.004396
314	0.038667
315	0.002903
316	0.017784
317	0.009491
318	0.048894
319	0.004024
320	0.021473
321	0.014689
322	0.006292
323	0.013834
324	0.005651
325	0.022460
326	0.029624
327	0.024629
328	0.015018
329	0.082795
330	0.002274
331	0.008649
332	0.003797
333	0.102625
334	0.004523
335	0.003766
336	0.020859
337	0.032825
338	0.047260
339	0.028362
340	0.073617
341	0.003505
342	0.028437
343	0.015022
344	0.003395
345	0.010524
346	0.019242
347	0.007002
348	0.001690
349	0.007169
350	0.005927
351	0.033725
352	0.008305
353	0.019985
354	0.002816
355	0.051086
356	0.042626
357	0.050134
358	0.014023
359	0.004449
360	0.009357
361	0.031305
362	0.052389
363	0.041749
364	0.005621
365	0.038953
366	0.074875
367	0.073487
368	0.019187
369	0.009151
370	0.014909
371	0.068970
372	0.024204
373	0.027817
374	0.005351
375	0.049600
376	0.017361
377	0.048180
378	0.008305
379	0.020356
380	0.017672
381	0.007335
382	0.000918
383	0.000971
384	0.003962
385	0.008845
386	0.001457
387	0.012484
388	0.011566
389	0.012549
390	0.016047
391	0.004281
392	0.006434
393	0.048136
394	0.010494
395	0.024296
396	0.002576
397	0.010103
398	0.000817
399	0.016224
400	0.022425
401	0.037846
402	0.002839
403	0.016129
404	0.057114
405	0.087836
406	0.005457
407	0.006385
408	0.033113
409	0.038674
410	0.013174
411	0.060927
412	0.036838
413	0.024212
414	0.000331
415	0.000430
416	0.000516
417	0.042919
418	0.018559
419	0.076508
420	0.085287
421	0.017781
422	0.043553
423	0.027653
424	0.089990
425	0.019190
426	0.044406
427	0.050920
428	0.006166
429	0.010231
430	0.033442
431	0.011366
432	0.001995
433	0.009627
434	0.138950
435	0.004628
436	0.001204
437	0.020612
438	0.054644
439	0.002730
440	0.041824
441	0.029823
442	0.015306
443	0.031098
444	0.020168
445	0.023613
446	0.005928
447	0.006042
448	0.012349
449	0.000003
450	0.058543
451	0.001931
452	0.010759
453	0.026453
454	0.010816
455	0.036044
456	0.002002
457	0.022012
458	0.039901
459	0.032320
460	0.035876
461	0.006335
462	0.023197
463	0.000113
464	0.044094
465	0.005158
466	0.011864
467	0.017478
468	0.010744
469	0.016766
470	0.011357
471	0.010635
472	0.002406
473	0.069436
474	0.072321
475	0.000717
476	0.005861
477	0.007580
478	0.030275
479	0.000320
480	0.029446
481	0.031165
482	0.021451
483	0.022783
484	0.012635
485	0.016525
486	0.050424
487	0.001168
488	0.001566
489	0.035062
490	0.033727
491	0.004517
492	0.032447
493	0.065709
494	0.067654
495	0.054573
496	0.007746
497	0.008764
498	0.026609
499	0.007401
500	0.004289
501	0.002547
502	0.005368
503	0.003224
504	0.012213
505	0.002707
506	0.032012
507	0.000721
508	0.014316
509	0.031626
510	0.007403
511	0.008820
512	0.003005
513	0.024900
514	0.006895
515	0.028016
516	0.009511
517	0.005876
518	0.050795
519	0.005232
520	0.033647
521	0.005286
522	0.008830
523	0.010506
524	0.000015
525	0.007554
526	0.041240
527	0.014004
528	0.005027
529	0.008834
530	0.003944
531	0.040366
532	0.006597
533	0.067939
534	0.001275
535	0.003741
536	0.008536
537	0.016069
538	0.002550
539	0.003278
540	0.008455
541	0.014075
542	0.011211
543	0.034817
544	0.024185
545	0.010121
546	0.061494
547	0.017122
548	0.024548
549	0.031349
550	0.023949
551	0.008356
552	0.024212
553	0.001674
554	0.003896
555	0.005713
556	0.002878
557	0.012547
558	0.001313
559	0.006826
560	0.023690
561	0.000055
562	0.023641
563	0.019305
564	0.011535
565	0.001976
566	0.002686
567	0.002637
568	0.031434
569	0.011396
570	0.004419
571	0.007442
572	0.015634
573	0.005978
574	0.002873
575	0.001452
576	0.012411
577	0.013545
578	0.000037
579	0.004699
580	0.000000
581	0.018773
582	0.008469
583	0.000010
584	0.000580
585	0.012841
586	0.007801
587	0.006594
588	0.011981
589	0.020662
590	0.016210
591	0.010295
592	0.005139
593	0.013828
594	0.005921
595	0.000021
596	0.002893
597	0.009465
598	0.001675
599	0.005350
600	0.009908
601	0.029424
602	0.005055
603	0.000003
604	0.003901
605	0.000018
606	0.000710
607	0.022052
608	0.003508
609	0.002945
610	0.010095
611	0.019382
612	0.028199
613	0.002084
614	0.000586
615	0.042183
616	0.002200
617	0.000701
618	0.003138
619	0.006788
620	0.000648
621	0.005706
622	0.000079
623	0.003322
624	0.006224
625	0.002415
626	0.000175
627	0.009829
628	0.001047
629	0.000507
630	0.000518
631	0.000451
632	0.000214
633	0.000000
634	0.000019
635	0.002159
636	0.000825
637	0.001581
638	0.008491
639	0.003521
640	0.004742
641	0.018066
642	0.018016
643	0.004645
644	0.010243
645	0.000492
646	0.001447
647	0.010465
648	0.000000
649	0.003151
650	0.000372
651	0.009189
652	0.007714
653	0.000000
654	0.018936
655	0.016139
656	0.001305
657	0.000158
658	0.000000
659	0.000126
660	0.000000
661	0.022356
662	0.013138
663	0.008216
664	0.005689
665	0.019128
666	0.008665
667	0.014677
668	0.000215
669	0.003623
670	0.000000
671	0.016690
672	0.004912
673	0.001451
674	0.004880
675	0.000000
676	0.000569
677	0.001471
678	0.005859
679	0.010342
680	0.000575
681	0.008891
682	0.000257
683	0.003969
684	0.000000
685	0.024925
686	0.003037
687	0.002914
688	0.000259
