# Directed network: CollegeMsg.txt 
# Nodes: 1899 Edges: 20296
# SrcNId	DstNId	Flt:capacity
1	2	0.200000
3	4	1.000000
5	2	0.200000
6	7	0.200000
8	7	0.200000
9	10	0.500000
9	11	0.333333
12	13	0.333333
9	14	0.666667
9	15	0.250000
9	16	1.000000
9	17	0.500000
9	18	0.500000
19	18	0.500000
20	21	1.000000
19	22	0.333333
8	23	0.500000
9	24	1.000000
9	22	0.666667
25	21	0.500000
26	7	0.200000
27	28	1.000000
29	25	0.500000
30	31	4.000000
32	33	0.333333
34	35	0.500000
34	33	0.333333
36	37	1.000000
38	39	0.142857
36	40	0.500000
41	15	0.250000
41	11	0.333333
41	14	0.333333
41	13	0.333333
41	39	0.142857
41	42	0.016667
41	43	0.666667
9	40	0.500000
44	45	1.000000
46	22	0.333333
44	46	0.250000
47	46	0.250000
48	46	0.250000
9	49	1.000000
36	50	0.044444
44	51	0.030303
32	52	0.108696
36	32	0.014599
53	54	0.666667
36	55	0.500000
56	57	0.250000
36	58	0.035714
44	59	0.055556
51	58	0.107143
44	14	0.333333
36	56	0.071429
36	60	0.300000
56	61	0.045455
62	50	0.044444
32	59	0.055556
41	63	0.366197
41	64	0.200000
41	65	0.200000
41	56	0.214286
41	61	0.045455
41	52	0.021739
41	58	0.107143
41	59	0.111111
9	64	0.200000
9	58	0.214286
12	66	0.500000
32	58	0.142857
67	32	0.138686
41	32	0.043796
32	68	0.062500
68	56	0.142857
68	61	0.136364
67	8	0.064516
69	67	0.016129
70	51	0.030303
44	50	0.022222
71	58	0.035714
71	72	0.026667
72	71	2.000000
73	74	0.238095
74	73	0.225806
34	58	0.071429
44	75	0.181818
9	76	0.600000
32	77	1.000000
41	76	0.600000
41	78	0.125000
79	48	0.020833
79	63	0.014085
41	80	0.071429
79	58	0.071429
41	81	0.083333
79	70	0.100000
19	82	2.000000
19	72	0.026667
12	32	0.116788
19	64	0.200000
19	58	0.142857
19	52	0.152174
83	59	0.055556
51	70	0.100000
38	58	0.035714
63	79	0.111111
67	59	0.055556
44	84	0.066667
19	85	0.047619
3	84	0.200000
19	8	0.064516
84	86	0.100000
83	58	0.035714
86	48	0.020833
87	63	0.014085
36	88	0.030303
87	8	0.032258
36	89	0.500000
90	56	0.071429
36	90	0.074074
36	84	0.200000
91	92	1.000000
36	93	0.400000
94	84	0.200000
69	84	0.066667
69	95	0.038462
48	86	0.100000
84	8	0.032258
91	81	0.083333
96	88	0.030303
8	84	0.066667
91	47	0.200000
97	98	0.222222
98	97	0.027778
48	97	0.013889
99	8	0.096774
97	48	0.062500
100	101	0.023256
102	97	0.069444
97	102	0.142857
101	100	1.333333
48	58	0.035714
103	72	0.226667
103	58	0.178571
104	59	0.111111
105	56	0.142857
106	72	0.013333
105	61	0.136364
105	8	0.032258
105	33	0.333333
105	107	1.000000
105	81	0.083333
44	102	0.095238
36	105	0.077778
36	104	0.400000
34	108	0.333333
34	109	0.083333
36	110	1.000000
111	112	0.250000
36	113	1.000000
36	109	0.291667
79	109	0.041667
114	105	0.022222
101	115	0.250000
56	90	0.037037
56	105	0.011111
56	68	0.062500
29	58	0.035714
87	58	0.035714
44	116	1.000000
44	117	1.000000
44	79	0.555556
80	58	0.035714
96	32	0.021898
118	100	0.333333
119	120	0.250000
120	119	0.181818
120	75	0.181818
119	58	0.035714
118	120	0.166667
121	108	0.333333
72	106	0.500000
44	92	0.333333
26	122	0.200000
1	123	0.400000
96	124	0.027778
125	126	0.250000
36	124	0.027778
36	127	0.050000
36	128	0.030303
44	129	2.250000
9	120	0.083333
124	109	0.125000
124	61	0.045455
124	72	0.013333
36	112	0.500000
124	85	0.095238
85	124	0.027778
32	130	2.000000
72	124	0.027778
124	8	0.016129
131	30	0.266667
99	126	0.250000
103	63	0.338028
103	117	0.500000
69	124	0.055556
69	79	0.111111
132	30	0.133333
36	99	0.071429
36	133	3.000000
36	134	0.166667
36	81	0.083333
103	135	0.200000
133	135	0.150000
135	133	1.000000
9	109	0.208333
62	136	0.333333
137	138	1.000000
96	137	1.000000
19	120	0.166667
44	90	0.185185
19	139	1.000000
44	60	0.100000
44	88	0.151515
19	111	0.500000
9	32	0.182482
38	86	0.200000
140	105	0.011111
38	101	0.116279
103	101	0.069767
38	61	0.045455
75	120	0.166667
38	81	0.083333
44	141	0.400000
44	74	0.285714
44	127	0.050000
124	135	0.250000
140	124	0.166667
105	58	0.035714
105	63	0.042254
105	135	0.150000
135	124	0.027778
63	105	0.011111
142	58	0.035714
143	32	0.051095
144	99	0.714286
144	105	0.011111
144	121	0.333333
103	109	0.375000
48	81	0.250000
95	81	0.083333
145	48	0.083333
95	63	0.183099
145	95	0.057692
95	109	0.125000
96	48	0.062500
96	95	0.096154
105	144	0.031746
6	146	0.250000
44	105	0.022222
63	95	0.269231
44	32	0.014599
36	147	0.285714
9	136	0.333333
9	148	0.333333
9	149	0.058824
9	150	1.000000
9	151	0.125000
9	152	0.076923
9	153	1.000000
9	135	0.250000
9	8	0.903226
9	154	0.052632
9	121	0.111111
1	135	0.100000
3	155	0.200000
30	132	0.068966
3	58	0.035714
36	156	0.500000
101	51	0.030303
101	34	0.100000
36	73	0.354839
9	157	0.166667
19	158	0.250000
105	129	0.250000
51	101	0.023256
1	159	2.000000
160	72	0.040000
129	8	0.016129
36	129	1.250000
34	101	0.069767
161	162	1.142857
163	72	0.013333
32	164	0.285714
58	8	0.016129
41	120	0.166667
41	132	0.034483
41	165	0.333333
41	166	0.285714
41	157	0.166667
41	167	0.166667
41	168	1.416667
41	169	1.000000
41	134	0.333333
56	154	0.105263
56	170	1.000000
56	171	1.000000
56	172	0.038462
51	157	0.166667
8	58	0.035714
8	164	0.285714
103	173	0.071429
67	154	0.052632
32	26	0.055556
96	163	0.076923
9	20	0.166667
9	165	0.333333
9	61	0.090909
32	155	0.150000
32	109	0.083333
32	174	0.071429
175	50	0.022222
103	85	0.047619
164	8	0.032258
38	128	0.196970
19	109	0.333333
161	164	0.285714
38	109	0.041667
176	63	0.140845
161	63	0.084507
41	177	2.214286
164	178	1.000000
164	177	0.071429
32	175	0.150000
32	177	0.642857
164	179	0.500000
32	179	0.500000
96	164	0.285714
41	180	0.666667
177	32	0.043796
180	177	0.142857
180	181	0.052632
180	182	0.666667
41	90	0.185185
177	180	0.222222
183	184	0.058824
175	32	0.043796
63	174	0.571429
174	63	0.098592
63	155	0.200000
41	185	0.416667
185	147	0.142857
185	32	0.007299
32	185	0.083333
186	185	0.083333
140	185	0.333333
155	32	0.007299
185	186	0.333333
155	63	0.028169
103	177	0.214286
187	186	1.666667
185	97	0.013889
103	97	0.027778
41	186	0.666667
185	63	0.014085
63	185	0.333333
103	188	0.250000
189	175	0.050000
185	109	0.041667
189	8	0.048387
41	86	0.100000
41	188	0.250000
101	190	2.250000
191	175	0.175000
103	192	0.250000
193	149	0.294118
193	190	0.250000
191	78	0.125000
190	109	0.041667
109	124	0.027778
103	190	0.125000
41	192	0.250000
194	149	0.058824
194	195	0.333333
176	20	0.166667
176	61	0.090909
176	149	0.058824
176	120	0.083333
176	132	0.034483
176	86	0.100000
176	97	0.013889
176	72	0.026667
176	58	0.035714
176	8	0.016129
176	196	1.000000
176	197	1.000000
176	198	0.250000
176	199	0.023256
176	200	1.000000
176	190	0.125000
176	192	0.250000
176	201	0.200000
176	188	0.250000
176	202	0.333333
176	185	0.083333
176	203	0.200000
176	180	0.111111
176	181	0.052632
176	177	0.071429
176	184	0.117647
176	175	0.025000
176	166	0.285714
204	205	1.000000
204	104	0.200000
204	184	0.235294
189	144	0.238095
3	185	0.083333
3	32	0.138686
199	58	0.071429
63	199	0.139535
63	184	0.058824
199	101	0.023256
194	199	0.093023
194	206	2.000000
194	207	1.000000
204	123	0.200000
121	191	0.022222
175	191	0.133333
204	129	0.250000
101	184	0.294118
101	208	3.000000
63	46	0.250000
101	88	0.030303
191	121	0.111111
199	20	0.166667
184	101	0.116279
103	132	0.034483
199	209	0.071429
103	210	0.500000
36	209	0.035714
209	199	0.023256
199	210	0.500000
176	101	0.348837
68	101	0.046512
32	198	0.125000
211	101	0.023256
212	209	0.107143
211	213	1.000000
211	93	1.200000
211	85	0.047619
189	199	0.023256
214	215	0.375000
103	215	1.000000
103	82	0.333333
44	214	0.285714
103	168	0.750000
214	109	0.083333
215	67	0.016129
41	215	0.125000
41	216	0.333333
103	127	0.050000
215	62	0.027778
176	217	1.000000
176	216	0.333333
176	218	1.000000
219	124	0.027778
63	127	0.650000
88	101	0.023256
103	56	0.142857
214	56	0.142857
51	215	0.500000
19	175	0.025000
215	51	0.090909
19	215	1.000000
103	175	0.225000
214	175	0.075000
144	185	0.166667
220	214	0.238095
220	32	0.021898
144	32	0.014599
175	214	0.142857
176	221	0.043478
103	98	0.111111
222	120	0.166667
41	222	0.285714
41	223	0.250000
41	97	0.041667
36	222	0.571429
36	221	0.217391
212	66	0.500000
96	224	0.033333
225	223	0.250000
36	214	0.095238
176	223	0.250000
176	226	0.250000
221	161	0.636364
44	226	0.250000
56	214	0.047619
161	221	0.086957
204	221	0.173913
227	26	0.055556
211	228	0.166667
214	101	0.069767
229	230	1.000000
96	231	1.000000
96	232	0.500000
103	221	0.043478
103	20	0.166667
103	86	0.200000
103	66	1.000000
103	185	0.250000
212	6	0.367347
103	8	0.016129
63	202	0.333333
103	93	0.200000
9	233	0.071429
103	233	0.035714
9	97	0.138889
9	190	0.125000
166	234	0.040000
69	34	0.050000
235	191	0.066667
69	185	0.083333
3	132	0.172414
1	30	0.266667
41	173	0.071429
103	166	0.428571
63	92	0.333333
97	228	0.083333
191	136	0.333333
191	236	0.103448
