# Input: CollegeMsg.txt
# Nodes: 1899    Edges: 13838
# Algoritm: Infomap
# Average code length: 1483.426674
# Communities: 233
# NId	CommunityId
1	0
159	0
255	0
397	0
1779	0
1790	0
1192	1
1530	1
402	2
1201	2
1250	2
3	3
4	3
6	3
8	3
9	3
12	3
16	3
24	3
32	3
34	3
38	3
49	3
50	3
62	3
72	3
73	3
77	3
90	3
103	3
109	3
127	3
128	3
130	3
148	3
150	3
153	3
154	3
155	3
181	3
194	3
199	3
206	3
207	3
209	3
210	3
214	3
224	3
242	3
249	3
254	3
256	3
260	3
263	3
272	3
277	3
283	3
287	3
297	3
298	3
299	3
306	3
311	3
314	3
317	3
319	3
325	3
330	3
337	3
342	3
353	3
357	3
372	3
377	3
389	3
409	3
415	3
417	3
448	3
454	3
460	3
474	3
502	3
503	3
510	3
576	3
601	3
605	3
618	3
626	3
640	3
644	3
645	3
685	3
686	3
687	3
697	3
701	3
704	3
719	3
770	3
781	3
809	3
810	3
830	3
834	3
840	3
858	3
859	3
871	3
874	3
877	3
915	3
937	3
948	3
950	3
951	3
960	3
966	3
986	3
1004	3
1011	3
1039	3
1072	3
1084	3
1085	3
1086	3
1106	3
1115	3
1118	3
1119	3
1136	3
1185	3
1193	3
1197	3
1220	3
1227	3
1260	3
1268	3
1280	3
1283	3
1338	3
1341	3
1351	3
1358	3
1386	3
1450	3
1462	3
1500	3
1519	3
1609	3
1625	3
1631	3
1643	3
1650	3
1651	3
1658	3
1682	3
1705	3
1710	3
1711	3
1722	3
1751	3
1759	3
1774	3
1784	3
1795	3
1810	3
1815	3
1829	3
1838	3
1854	3
1856	3
1857	3
1871	3
10	4
1258	4
70	5
172	5
361	5
393	5
395	5
447	5
467	5
486	5
488	5
492	5
531	5
598	5
607	5
609	5
684	5
815	5
820	5
944	5
1010	5
1113	5
1160	5
1182	5
1216	5
1255	5
1277	5
1303	5
1348	5
1763	5
1780	5
20	6
21	6
275	6
52	7
136	7
191	7
212	7
236	7
252	7
348	7
365	7
376	7
398	7
481	7
509	7
592	7
639	7
642	7
757	7
935	7
936	7
1054	7
1706	7
1708	7
1718	7
1752	7
41	8
63	8
81	8
94	8
101	8
169	8
176	8
184	8
196	8
208	8
216	8
217	8
251	8
301	8
320	8
327	8
495	8
498	8
514	8
549	8
560	8
708	8
783	8
784	8
928	8
965	8
1126	8
1135	8
1293	8
1302	8
1589	8
1604	8
1630	8
1828	8
149	9
268	9
548	9
667	9
1033	9
1188	9
1209	9
1435	9
1443	9
36	10
37	10
40	10
110	10
113	10
129	10
134	10
156	10
428	10
879	10
42	11
922	11
1229	11
1266	11
1288	11
1307	11
1309	11
1357	11
1418	11
1428	11
1477	11
1482	11
1506	11
1512	11
1558	11
1559	11
1689	11
1691	11
67	12
533	12
917	12
1430	12
1538	12
1760	12
1768	12
1769	12
1770	12
1776	12
1777	12
1785	12
1809	12
1866	12
17	13
452	13
535	13
624	13
632	13
696	13
713	13
715	13
717	13
718	13
750	13
842	13
999	13
1263	13
1311	13
91	14
92	14
99	15
561	15
913	15
949	15
1162	15
33	16
105	16
107	16
482	16
964	16
1027	16
1055	16
1116	16
1125	16
1134	16
1143	16
1144	16
1147	16
1148	16
1150	16
1151	16
1152	16
1202	16
1674	16
1743	16
133	17
135	17
1486	17
15	18
64	18
89	18
182	18
490	18
523	18
524	18
565	18
791	18
875	18
920	18
1149	18
1541	18
1592	18
1662	18
1806	18
1817	18
1818	18
1819	18
1820	18
1821	18
1822	18
1823	18
1824	18
1825	18
1826	18
1827	18
27	19
28	19
141	19
271	19
293	19
406	19
475	19
505	19
544	19
637	19
638	19
870	19
996	19
1001	19
1217	19
1285	19
1300	19
1480	19
1600	19
23	20
144	20
195	20
227	20
240	20
369	20
733	20
1200	20
1278	20
1527	20
1761	20
189	21
674	21
1742	21
160	22
1729	22
284	23
714	23
186	24
187	24
1897	24
102	25
104	25
228	25
404	25
817	25
943	25
1100	25
1449	25
1493	25
1584	25
1656	25
229	26
230	26
235	27
347	27
88	28
183	28
234	28
281	28
367	28
479	28
578	28
916	28
918	28
1140	28
1248	28
1319	28
1501	28
1576	28
1778	28
266	29
653	29
680	29
692	29
693	29
694	29
695	29
276	30
1683	30
832	31
1087	31
1088	31
1270	31
291	32
1787	32
596	33
619	33
661	33
782	33
989	33
30	34
31	34
1176	34
323	35
455	35
458	35
1007	35
1073	35
1124	35
1164	35
1347	35
345	36
691	36
946	36
947	36
1058	36
74	37
138	37
140	37
410	37
536	37
558	37
703	37
765	37
940	37
1000	37
1035	37
1041	37
223	38
225	38
2	39
11	39
13	39
76	39
82	39
165	39
188	39
360	39
382	39
400	39
411	39
444	39
446	39
459	39
476	39
499	39
743	39
888	39
889	39
891	39
892	39
894	39
895	39
896	39
897	39
902	39
904	39
905	39
907	39
910	39
911	39
1555	39
407	40
461	40
408	41
1122	41
53	42
253	42
343	42
424	42
690	42
1242	42
1388	42
1432	42
1615	42
426	43
427	43
164	44
178	44
179	44
233	45
420	45
634	45
818	45
831	45
981	45
1052	45
1057	45
1431	45
1542	45
1580	45
1676	45
1716	45
1750	45
1775	45
1796	45
1799	45
1852	45
1859	45
1865	45
1881	45
433	46
434	46
445	47
614	47
518	48
1536	48
1830	48
477	49
526	49
1271	49
1329	49
56	50
170	50
171	50
328	50
381	50
581	50
744	50
779	50
1602	50
582	51
1210	51
1212	51
1882	51
567	52
763	52
219	53
543	53
608	53
766	53
767	53
1157	53
1494	53
1513	53
1639	53
1737	53
270	54
290	54
321	54
358	54
412	54
450	54
472	54
480	54
491	54
500	54
506	54
550	54
583	54
663	54
1120	54
80	55
114	55
305	55
521	55
864	55
899	55
1015	55
1131	55
1187	55
1189	55
1261	55
1370	55
1444	55
1481	55
