# Input: n100-0.3.txt
# Nodes: 100    Edges: 1118
# Algoritm: Infomap
# Average code length: 24.839197
# Communities: 8
# NId	CommunityId
0	0
37	0
39	0
94	0
93	0
53	0
55	0
95	0
90	0
30	0
31	0
98	1
42	1
85	1
26	1
78	1
15	1
91	1
73	1
56	2
25	2
65	2
38	2
72	2
40	2
82	2
28	3
43	3
46	3
49	3
51	3
58	3
79	3
5	3
66	3
35	3
76	3
50	3
54	3
89	3
27	3
8	4
7	4
19	4
24	4
29	4
45	4
60	4
67	4
68	4
69	4
75	4
77	4
80	4
81	4
32	4
47	4
62	4
9	4
6	4
64	4
36	4
44	4
87	4
57	4
12	4
18	4
20	4
34	4
86	4
88	4
96	4
1	5
2	5
3	5
4	5
10	5
11	5
21	5
33	5
48	5
52	5
59	5
61	5
83	5
84	5
92	5
99	5
13	6
74	6
17	6
16	6
41	6
63	6
70	6
71	6
97	6
22	6
23	7
14	7
