# Input: ../as20graph.txt
# Nodes: 6474    Edges: 12572
# Algoritm: Infomap
# Average code length: 5371.345967
# Communities: 793
# NId	CommunityId
1	0
63	0
70	0
86	0
90	0
109	0
144	0
189	0
199	0
763	0
1311	0
1800	0
2497	0
2714	0
2828	0
3126	0
3134	0
3147	0
3495	0
3703	0
4247	0
4527	0
4574	0
4583	0
4963	0
5684	0
5691	0
5736	0
5790	0
6073	0
6139	0
6150	0
6201	0
6245	0
6316	0
6425	0
6536	0
6541	0
6566	0
6966	0
6989	0
7047	0
7152	0
7269	0
7318	0
7323	0
7374	0
7384	0
7386	0
7392	0
7430	0
7754	0
7823	0
7923	0
8009	0
8076	0
8084	0
8090	0
8097	0
8118	0
10266	0
10302	0
10361	0
10559	0
10581	0
10615	0
10616	0
10657	0
10725	0
10809	0
10839	0
10928	0
10934	0
11015	0
11086	0
11291	0
11302	0
11324	0
11435	0
11513	0
11552	0
11572	0
11573	0
11661	0
11721	0
11729	0
11765	0
11784	0
12025	0
12037	0
12073	0
12079	0
12114	0
12208	0
12214	0
12228	0
12273	0
13373	0
13384	0
13461	0
13646	0
13716	0
13790	0
13832	0
13845	0
13865	0
13920	0
14150	0
9512	0
10244	0
2515	0
2526	0
9364	0
1879	0
1881	0
209	1
6607	1
6650	1
10946	1
11485	1
12207	1
12209	1
12211	1
13506	1
14473	1
3087	1
4521	1
5024	1
5093	1
7778	1
7902	1
8058	1
10389	1
10416	1
10721	1
10975	1
11238	1
11320	1
11515	1
12028	1
13444	1
13494	1
13593	1
13782	1
13967	1
13969	1
14047	1
14051	1
14195	1
8159	1
12247	1
8018	1
6994	1
7024	1
10326	1
10516	1
11003	1
11792	1
11904	1
12224	1
13433	1
13473	1
14107	1
14146	1
7884	1
12052	1
6918	1
11859	1
13423	1
5665	1
6355	1
6375	1
8051	1
10267	1
11264	1
11967	1
12205	1
13388	1
13529	1
13604	1
13651	1
13701	1
13766	1
13781	1
13799	1
13803	1
13904	1
13932	1
13939	1
13951	1
14018	1
14052	1
14175	1
14188	1
14189	1
14369	1
14375	1
14427	1
14484	1
3	2
286	2
293	2
297	2
1746	2
2856	2
4136	2
1891	2
1897	2
2116	2
2819	2
